Year,Population,Elderly (%),GDP per Capita,Hospital Beds,Doctors per 1000,Smoking Rate,Mortality Rate,Life Expectancy
2010,128000000,23,43000,13.7,2.1,24.5,9.4,82.6
2011,127800000,23.5,44000,13.6,2.2,23.8,9.6,82.7
2012,127600000,24,45000,13.5,2.2,23.1,9.8,82.9
2013,127400000,24.5,45500,13.4,2.3,22.5,9.7,83
2014,127200000,25,46000,13.3,2.3,21.9,9.9,83.2
2015,127000000,25.5,46500,13.2,2.4,21.2,10.1,83.4
2016,126800000,26,47000,13.1,2.4,20.6,10.3,83.6
2017,126600000,26.5,47500,13,2.4,19.9,10.2,83.8
2018,126400000,27,48000,13,2.5,19.3,10.4,84
2019,126200000,27.5,48500,12.9,2.5,18.7,10.6,84.2
